T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,PS,Date,City
24.14,27.83,21.54,81.89,0.0,2.96,100.7,2010-01-01,Chennai
23.77,26.94,21.18,81.1,0.01,3.25,100.89,2010-01-02,Chennai
23.32,26.58,20.84,79.15,0.01,3.03,100.88,2010-01-03,Chennai
22.86,26.46,20.49,77.3,0.0,2.1,100.71,2010-01-04,Chennai
22.83,26.8,19.15,79.5,0.0,2.01,100.55,2010-01-05,Chennai
23.55,27.15,20.25,81.01,0.01,3.36,100.6,2010-01-06,Chennai
23.92,27.06,21.54,80.51,0.12,3.55,100.69,2010-01-07,Chennai
24.29,26.63,22.47,87.05,3.18,4.07,100.66,2010-01-08,Chennai
25.51,27.77,23.64,88.48,1.69,3.4,100.59,2010-01-09,Chennai
25.49,28.08,23.61,86.26,11.31,1.99,100.69,2010-01-10,Chennai
25.37,28.1,23.57,86.3,0.74,2.06,100.83,2010-01-11,Chennai
25.42,28.28,23.48,85.63,0.08,1.89,100.84,2010-01-12,Chennai
25.62,28.48,23.75,85.89,0.07,2.18,100.89,2010-01-13,Chennai
25.5,28.51,23.2,84.24,0.01,2.49,100.99,2010-01-14,Chennai
24.67,27.59,22.75,78.19,0.0,3.3,101.13,2010-01-15,Chennai
24.32,27.21,22.34,79.29,0.08,3.25,101.21,2010-01-16,Chennai
24.83,28.27,22.38,80.88,0.36,2.81,101.19,2010-01-17,Chennai
24.79,27.63,22.77,81.97,0.19,2.21,101.1,2010-01-18,Chennai
24.6,28.04,22.24,80.95,0.0,2.69,100.93,2010-01-19,Chennai
23.92,27.86,21.0,78.79,0.0,2.94,101.01,2010-01-20,Chennai
22.81,27.17,19.55,73.16,0.0,3.01,100.95,2010-01-21,Chennai
22.57,26.74,19.88,72.88,0.0,2.7,100.93,2010-01-22,Chennai
22.69,26.76,19.45,74.9,0.05,3.08,100.94,2010-01-23,Chennai
23.17,27.11,20.06,73.22,0.1,2.42,100.84,2010-01-24,Chennai
23.66,27.57,20.35,77.88,0.02,2.77,100.83,2010-01-25,Chennai
24.26,28.11,21.06,80.84,0.27,3.14,100.9,2010-01-26,Chennai
24.57,28.17,21.9,81.23,0.72,3.04,100.89,2010-01-27,Chennai
24.5,28.28,21.82,78.17,0.0,3.18,100.94,2010-01-28,Chennai
24.12,28.26,21.47,75.29,0.0,3.02,100.95,2010-01-29,Chennai
23.82,28.04,20.66,74.32,0.0,2.64,100.93,2010-01-30,Chennai
24.08,28.35,20.73,75.02,0.0,2.63,100.92,2010-01-31,Chennai
23.61,27.06,21.0,76.55,0.0,2.24,100.88,2010-02-01,Chennai
23.5,28.02,20.22,74.81,0.0,2.64,100.83,2010-02-02,Chennai
