T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,PS,Date,City
13.52,23.13,5.09,44.53,0.0,1.78,99.2,2010-01-01,Delhi
15.3,22.74,8.9,36.35,0.0,0.55,99.41,2010-01-02,Delhi
14.77,22.43,10.35,45.32,2.16,1.34,99.39,2010-01-03,Delhi
12.51,20.57,6.8,55.55,0.0,3.28,99.19,2010-01-04,Delhi
11.84,21.25,4.87,55.06,0.0,2.63,98.93,2010-01-05,Delhi
12.58,21.32,4.57,48.73,0.0,1.09,99.09,2010-01-06,Delhi
13.55,21.43,8.31,44.32,0.0,0.96,99.3,2010-01-07,Delhi
13.65,20.76,8.35,50.63,0.0,0.83,99.28,2010-01-08,Delhi
12.93,21.8,6.56,45.31,0.0,1.33,99.21,2010-01-09,Delhi
12.73,22.52,5.53,38.8,0.0,1.36,99.25,2010-01-10,Delhi
13.07,23.27,4.77,37.52,0.0,1.57,99.28,2010-01-11,Delhi
14.2,23.63,5.82,29.17,0.04,1.05,99.26,2010-01-12,Delhi
11.02,15.98,7.24,74.06,4.4,1.63,99.43,2010-01-13,Delhi
11.51,20.58,4.53,61.4,0.0,1.64,99.77,2010-01-14,Delhi
12.51,22.24,4.71,35.9,0.0,1.86,99.78,2010-01-15,Delhi
12.92,23.42,4.48,34.22,0.0,1.66,99.79,2010-01-16,Delhi
14.89,23.96,6.11,28.24,0.0,1.07,99.72,2010-01-17,Delhi
15.68,24.51,8.46,26.89,0.0,0.91,99.61,2010-01-18,Delhi
14.77,24.69,7.91,28.87,0.0,1.48,99.42,2010-01-19,Delhi
13.14,22.01,5.96,32.52,0.0,1.31,99.53,2010-01-20,Delhi
14.04,24.21,4.52,29.98,0.0,1.61,99.4,2010-01-21,Delhi
16.0,23.94,8.28,28.57,0.0,1.01,99.3,2010-01-22,Delhi
16.76,25.21,9.5,28.93,0.0,0.93,99.29,2010-01-23,Delhi
15.81,25.01,9.33,38.3,0.0,1.29,99.13,2010-01-24,Delhi
15.69,25.06,8.13,42.2,0.0,0.96,99.33,2010-01-25,Delhi
16.36,25.27,8.47,35.17,0.0,1.36,99.36,2010-01-26,Delhi
17.18,25.25,10.12,35.95,0.0,1.08,99.32,2010-01-27,Delhi
16.58,24.15,11.34,44.08,0.0,1.22,99.29,2010-01-28,Delhi
17.09,26.0,8.59,43.67,0.0,1.34,99.29,2010-01-29,Delhi
16.78,26.48,9.92,39.74,0.0,2.17,99.26,2010-01-30,Delhi
14.62,25.02,6.27,34.91,0.0,1.7,99.23,2010-01-31,Delhi
16.34,23.98,8.85,32.11,0.0,0.89,99.21,2010-02-01,Delhi
15.24,25.01,8.3,36.34,0.0,1.62,99.22,2010-02-02,Delhi
14.88,25.39,7.12,36.43,0.0,1.96,99.21,2010-02-03,Delhi
15.62,26.18,7.33,34.68,0.0,2.1,99.24,2010-02-04,Delhi
16.48,26.25,8.71,39.09,0.0,2.11,99.24,2010-02-05,Delhi
17.62,28.31,9.53,39.86,0.0,1.74,99.24,2010-02-06,Delhi
18.57,26.22,12.25,39.49,0.0,0.87,99.23,2010-02-07,Delhi
18.29,23.03,14.61,53.1,6.34,1.49,98.72,2010-02-08,Delhi
16.14,23.96,8.4,66.82,7.54,1.84,98.68,2010-02-09,Delhi
14.52,23.72,6.28,63.64,0.07,1.46,99.16,2010-02-10,Delhi
16.21,25.21,8.5,54.6,0.0,1.26,99.3,2010-02-11,Delhi
16.42,23.03,12.11,60.16,7.73,1.5,99.29,2010-02-12,Delhi
16.79,25.15,10.26,62.52,0.0,1.33,99.16,2010-02-13,Delhi
16.08,25.55,8.08,33.1,0.0,1.53,98.98,2010-02-14,Delhi
16.91,25.03,8.52,40.98,0.01,1.5,98.92,2010-02-15,Delhi
19.5,26.75,13.31,45.09,0.0,1.24,99.1,2010-02-16,Delhi
15.52,24.96,8.29,31.24,0.0,2.53,99.21,2010-02-17,Delhi
15.11,26.33,6.21,30.72,0.0,2.41,99.07,2010-02-18,Delhi
16.34,27.49,7.29,31.3,0.0,1.81,99.18,2010-02-19,Delhi
