T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,PS,Date,City
19.61,29.28,12.49,48.38,0.0,2.13,95.76,2010-01-01,Hyderabad
19.28,28.36,11.39,58.59,0.0,1.58,95.93,2010-01-02,Hyderabad
20.41,29.57,13.18,47.64,0.0,1.59,95.88,2010-01-03,Hyderabad
21.29,30.09,13.94,46.53,0.0,2.27,95.7,2010-01-04,Hyderabad
21.15,30.2,13.86,53.55,0.0,1.85,95.56,2010-01-05,Hyderabad
19.79,28.47,12.84,53.13,0.0,1.85,95.64,2010-01-06,Hyderabad
19.39,27.75,11.43,55.2,0.0,1.64,95.76,2010-01-07,Hyderabad
20.9,28.92,14.38,66.0,0.0,1.44,95.75,2010-01-08,Hyderabad
21.59,26.74,16.61,73.23,0.02,1.29,95.73,2010-01-09,Hyderabad
23.3,29.23,18.7,73.78,0.01,1.86,95.76,2010-01-10,Hyderabad
24.34,30.5,19.56,73.15,0.04,2.48,95.81,2010-01-11,Hyderabad
25.37,32.01,20.27,68.65,1.12,2.28,95.77,2010-01-12,Hyderabad
22.92,27.12,20.38,83.85,4.46,1.57,95.89,2010-01-13,Hyderabad
23.11,29.16,19.13,73.6,1.11,2.22,96.07,2010-01-14,Hyderabad
22.59,28.59,18.14,76.08,0.43,2.06,96.2,2010-01-15,Hyderabad
22.27,29.45,17.21,67.96,0.04,1.7,96.27,2010-01-16,Hyderabad
22.02,30.02,16.26,53.55,0.0,1.26,96.21,2010-01-17,Hyderabad
21.47,29.83,14.47,45.03,0.0,1.21,96.1,2010-01-18,Hyderabad
20.27,30.01,13.33,36.32,0.0,1.98,95.96,2010-01-19,Hyderabad
19.31,29.52,10.98,31.9,0.0,1.9,96.05,2010-01-20,Hyderabad
18.74,29.23,9.95,29.96,0.0,2.1,95.96,2010-01-21,Hyderabad
19.64,29.35,11.34,34.73,0.0,1.49,95.91,2010-01-22,Hyderabad
20.03,29.39,12.37,42.63,0.0,1.61,95.9,2010-01-23,Hyderabad
20.39,29.34,12.73,57.33,0.0,1.69,95.79,2010-01-24,Hyderabad
20.74,29.43,13.81,57.59,0.0,2.07,95.83,2010-01-25,Hyderabad
20.93,29.34,13.64,48.73,0.0,1.53,95.92,2010-01-26,Hyderabad
21.28,28.07,14.31,56.75,0.0,1.45,95.94,2010-01-27,Hyderabad
22.57,29.08,15.63,57.47,0.0,1.24,95.93,2010-01-28,Hyderabad
22.77,29.47,16.55,55.78,0.0,1.52,95.92,2010-01-29,Hyderabad
21.99,30.72,15.06,36.37,0.0,2.0,95.93,2010-01-30,Hyderabad
22.14,31.72,13.57,29.43,0.0,1.59,95.88,2010-01-31,Hyderabad
22.32,31.16,14.07,49.5,0.0,2.0,95.81,2010-02-01,Hyderabad
23.29,31.4,15.87,57.3,0.0,2.78,95.74,2010-02-02,Hyderabad
23.76,32.19,16.18,52.07,0.0,2.91,95.72,2010-02-03,Hyderabad
23.27,31.56,15.84,47.57,0.0,2.94,95.81,2010-02-04,Hyderabad
23.36,31.74,15.82,45.48,0.0,2.23,95.88,2010-02-05,Hyderabad
23.45,31.58,16.41,48.04,0.0,1.89,95.94,2010-02-06,Hyderabad
23.42,31.6,16.0,48.93,0.0,1.65,95.93,2010-02-07,Hyderabad
24.56,33.19,17.91,42.75,0.0,1.66,95.68,2010-02-08,Hyderabad
24.27,33.68,16.18,42.94,0.0,2.56,95.53,2010-02-09,Hyderabad
24.08,33.38,15.62,49.23,0.0,2.49,95.59,2010-02-10,Hyderabad
24.28,32.79,16.92,50.51,0.0,2.78,95.76,2010-02-11,Hyderabad
25.76,34.84,17.71,48.76,0.0,2.76,95.77,2010-02-12,Hyderabad
26.06,34.81,17.96,44.57,0.0,2.83,95.64,2010-02-13,Hyderabad
27.0,35.64,19.26,40.11,0.3,2.58,95.5,2010-02-14,Hyderabad
27.18,35.86,20.09,42.67,0.68,3.14,95.5,2010-02-15,Hyderabad
26.39,35.6,18.68,48.3,0.65,3.06,95.64,2010-02-16,Hyderabad
27.17,36.34,18.27,46.57,0.29,1.83,95.66,2010-02-17,Hyderabad
28.82,36.59,20.97,39.95,0.09,1.54,95.66,2010-02-18,Hyderabad
27.68,34.26,22.66,37.77,0.03,2.07,95.75,2010-02-19,Hyderabad
27.82,36.54,19.91,43.05,0.48,1.76,95.75,2010-02-20,Hyderabad
28.18,35.92,21.24,42.98,0.52,2.05,95.72,2010-02-21,Hyderabad
28.59,35.95,21.06,46.16,1.32,1.45,95.66,2010-02-22,Hyderabad
28.63,36.02,21.45,47.24,1.77,2.55,95.47,2010-02-23,Hyderabad
27.93,36.42,21.09,35.89,0.25,1.83,95.36,2010-02-24,Hyderabad
27.32,36.35,18.52,45.08,0.0,1.11,95.44,2010-02-25,Hyderabad
28.06,36.32,19.51,45.03,0.0,1.25,95.56,2010-02-26,Hyderabad
27.73,36.45,20.97,36.15,0.0,1.74,95.62,2010-02-27,Hyderabad
27.44,37.29,18.91,19.59,0.0,1.74,95.63,2010-02-28,Hyderabad
27.49,37.04,18.33,31.93,0.0,1.78,95.68,2010-03-01,Hyderabad
28.3,37.31,19.04,35.31,0.0,1.9,95.59,2010-03-02,Hyderabad
29.26,38.01,21.08,28.76,0.0,2.67,95.43,2010-03-03,Hyderabad
