T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,PS,Date,City
14.9,22.25,9.35,75.84,0.0,2.18,101.52,2010-01-01,Kolkata
13.58,21.93,7.3,73.57,0.0,2.12,101.63,2010-01-02,Kolkata
14.27,23.09,7.24,68.06,0.0,1.97,101.52,2010-01-03,Kolkata
14.4,22.53,7.11,64.92,0.0,1.64,101.28,2010-01-04,Kolkata
15.37,22.82,9.68,72.49,0.0,2.08,101.26,2010-01-05,Kolkata
14.49,22.72,7.57,72.4,0.0,1.86,101.38,2010-01-06,Kolkata
14.9,23.39,7.89,72.16,0.0,2.07,101.53,2010-01-07,Kolkata
15.96,24.22,8.75,68.84,0.0,1.89,101.5,2010-01-08,Kolkata
16.29,24.66,8.57,63.86,0.0,1.82,101.45,2010-01-09,Kolkata
17.13,24.59,10.14,65.01,0.0,1.61,101.46,2010-01-10,Kolkata
16.22,24.27,9.55,65.01,0.0,1.76,101.55,2010-01-11,Kolkata
16.0,23.57,9.85,64.05,0.0,1.54,101.57,2010-01-12,Kolkata
17.42,24.37,12.14,61.21,0.02,1.36,101.65,2010-01-13,Kolkata
17.14,23.27,13.17,70.36,0.06,1.86,101.82,2010-01-14,Kolkata
17.84,25.68,12.18,70.18,0.0,2.4,101.94,2010-01-15,Kolkata
17.26,24.96,10.52,68.28,0.0,1.86,101.98,2010-01-16,Kolkata
16.66,24.88,9.56,67.29,0.0,2.12,101.91,2010-01-17,Kolkata
16.51,23.64,10.41,65.44,0.0,1.85,101.8,2010-01-18,Kolkata
16.21,24.11,10.32,63.11,0.0,1.91,101.61,2010-01-19,Kolkata
15.53,24.37,8.22,61.03,0.0,2.1,101.74,2010-01-20,Kolkata
15.67,25.11,8.03,58.34,0.0,2.34,101.6,2010-01-21,Kolkata
16.02,26.14,7.9,54.91,0.0,1.91,101.58,2010-01-22,Kolkata
16.01,25.62,7.78,53.26,0.0,1.88,101.59,2010-01-23,Kolkata
16.55,25.83,8.4,52.27,0.0,1.75,101.53,2010-01-24,Kolkata
16.96,26.44,8.74,52.33,0.0,1.74,101.51,2010-01-25,Kolkata
17.73,26.87,9.33,52.63,0.0,1.95,101.55,2010-01-26,Kolkata
17.87,26.89,9.58,52.95,0.0,1.77,101.63,2010-01-27,Kolkata
17.94,26.25,10.2,52.17,0.0,1.88,101.66,2010-01-28,Kolkata
18.14,26.52,9.92,51.61,0.0,1.64,101.59,2010-01-29,Kolkata
18.35,26.74,9.62,51.87,0.0,1.73,101.5,2010-01-30,Kolkata
18.5,26.85,11.15,52.83,0.0,1.97,101.55,2010-01-31,Kolkata
18.03,26.85,10.69,53.53,0.0,1.9,101.52,2010-02-01,Kolkata
18.66,27.59,10.2,54.44,0.0,1.83,101.42,2010-02-02,Kolkata
19.43,27.88,11.49,54.23,0.0,1.84,101.41,2010-02-03,Kolkata
19.24,27.6,11.2,48.64,0.0,1.89,101.47,2010-02-04,Kolkata
18.77,27.64,10.8,45.85,0.0,1.89,101.52,2010-02-05,Kolkata
18.66,26.94,11.58,47.86,0.0,1.85,101.6,2010-02-06,Kolkata
19.5,27.7,11.6,48.9,0.0,1.77,101.48,2010-02-07,Kolkata
20.77,29.04,12.6,48.96,0.0,1.63,101.24,2010-02-08,Kolkata
22.21,30.32,15.04,48.73,0.0,1.19,101.16,2010-02-09,Kolkata
22.27,31.94,14.11,51.7,0.0,1.3,101.25,2010-02-10,Kolkata
22.74,31.0,15.23,54.14,0.0,1.77,101.46,2010-02-11,Kolkata
24.15,32.16,16.97,52.4,0.0,1.34,101.42,2010-02-12,Kolkata
23.4,31.27,16.52,56.26,0.0,1.82,101.25,2010-02-13,Kolkata
23.39,31.18,16.16,56.05,0.0,1.74,101.16,2010-02-14,Kolkata
24.4,31.7,17.81,54.4,0.38,1.17,101.23,2010-02-15,Kolkata
23.27,27.63,18.47,63.59,5.64,1.57,101.29,2010-02-16,Kolkata
24.31,30.6,19.09,70.99,6.11,1.8,101.18,2010-02-17,Kolkata
22.63,29.74,16.59,58.48,0.0,2.45,101.28,2010-02-18,Kolkata
22.19,30.28,13.77,45.98,0.0,1.19,101.44,2010-02-19,Kolkata
21.55,29.92,14.71,52.42,0.0,1.85,101.4,2010-02-20,Kolkata
20.79,29.08,12.38,44.16,0.0,1.62,101.41,2010-02-21,Kolkata
21.86,30.68,13.61,41.16,0.0,1.35,101.34,2010-02-22,Kolkata
22.33,30.12,13.99,53.32,9.53,1.36,101.07,2010-02-23,Kolkata
24.55,32.47,17.53,71.33,0.41,1.72,100.8,2010-02-24,Kolkata
25.7,33.07,20.45,68.48,0.32,1.52,100.91,2010-02-25,Kolkata
24.43,32.67,17.15,50.44,0.0,1.77,101.13,2010-02-26,Kolkata
23.66,31.43,15.68,45.03,0.0,1.88,101.07,2010-02-27,Kolkata
24.66,33.36,15.94,44.55,0.0,2.01,101.0,2010-02-28,Kolkata
25.04,33.78,17.68,44.17,0.0,2.0,101.07,2010-03-01,Kolkata
25.59,35.34,16.44,44.34,0.0,2.22,100.91,2010-03-02,Kolkata
26.37,35.76,17.68,52.83,0.0,1.87,100.72,2010-03-03,Kolkata
27.35,36.18,19.15,54.32,0.0,1.69,100.73,2010-03-04,Kolkata
28.41,36.93,20.48,61.31,0.0,1.8,100.71,2010-03-05,Kolkata
28.86,36.45,22.56,54.06,0.0,2.1,100.86,2010-03-06,Kolkata
28.36,36.56,20.24,42.77,0.0,1.53,101.03,2010-03-07,Kolkata
28.28,36.47,20.86,49.04,0.0,1.83,101.09,2010-03-08,Kolkata
27.57,35.88,20.16,39.08,0.0,1.81,101.3,2010-03-09,Kolkata
27.17,35.61,18.71,33.79,0.0,1.74,101.36,2010-03-10,Kolkata
27.08,35.46,18.19,32.46,0.0,1.62,101.46,2010-03-11,Kolkata
27.49,36.12,18.88,37.83,0.0,1.81,101.4,2010-03-12,Kolkata
27.16,36.32,18.91,36.01,0.0,1.89,101.15,2010-03-13,Kolkata
