T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,PS,Date,City
22.22,31.09,15.15,64.91,0.0,2.37,100.06,2010-01-01,Mumbai
23.96,31.37,18.91,65.97,0.26,2.46,100.22,2010-01-02,Mumbai
24.21,31.39,19.01,66.89,0.0,2.0,100.31,2010-01-03,Mumbai
23.38,30.57,18.0,68.55,0.0,2.37,100.19,2010-01-04,Mumbai
22.3,30.69,15.67,65.38,0.0,1.39,100.0,2010-01-05,Mumbai
23.49,31.76,16.93,60.84,0.0,2.26,99.92,2010-01-06,Mumbai
23.41,30.97,17.5,57.02,0.0,2.63,100.01,2010-01-07,Mumbai
22.77,30.83,15.74,52.16,0.0,1.81,100.1,2010-01-08,Mumbai
23.32,31.62,16.45,58.51,0.0,1.81,100.04,2010-01-09,Mumbai
24.07,32.35,18.01,62.88,0.0,1.88,100.04,2010-01-10,Mumbai
24.3,29.94,20.11,68.15,0.04,1.59,100.12,2010-01-11,Mumbai
24.01,29.17,21.14,72.47,0.05,1.65,100.29,2010-01-12,Mumbai
21.86,28.52,15.53,61.33,0.0,2.28,100.45,2010-01-13,Mumbai
22.21,31.78,13.2,52.74,0.0,2.07,100.47,2010-01-14,Mumbai
24.61,32.98,17.49,56.47,0.0,2.79,100.49,2010-01-15,Mumbai
24.75,32.42,19.02,58.04,0.0,2.23,100.62,2010-01-16,Mumbai
23.74,31.58,18.52,58.55,0.0,1.94,100.64,2010-01-17,Mumbai
23.25,31.55,17.65,59.24,0.0,1.47,100.51,2010-01-18,Mumbai
23.65,32.47,16.55,56.43,0.0,1.49,100.32,2010-01-19,Mumbai
24.37,32.4,17.7,54.09,0.0,2.11,100.35,2010-01-20,Mumbai
23.85,32.59,17.18,50.12,0.0,1.81,100.33,2010-01-21,Mumbai
23.35,32.3,16.69,48.1,0.0,2.11,100.3,2010-01-22,Mumbai
23.0,32.18,16.03,48.94,0.0,1.64,100.28,2010-01-23,Mumbai
22.81,31.51,16.49,52.86,0.0,1.54,100.18,2010-01-24,Mumbai
23.21,32.54,15.81,47.83,0.0,1.84,100.16,2010-01-25,Mumbai
23.97,32.33,17.12,46.87,0.0,2.12,100.25,2010-01-26,Mumbai
23.85,31.97,17.34,49.56,0.0,1.77,100.27,2010-01-27,Mumbai
23.32,32.21,16.77,48.1,0.0,1.86,100.27,2010-01-28,Mumbai
23.52,32.0,17.48,50.07,0.0,2.18,100.32,2010-01-29,Mumbai
24.28,33.65,17.62,48.99,0.0,2.26,100.28,2010-01-30,Mumbai
24.76,33.36,18.36,52.1,0.0,1.69,100.25,2010-01-31,Mumbai
23.91,31.46,18.14,54.03,0.0,1.63,100.2,2010-02-01,Mumbai
23.37,31.29,17.47,56.55,0.0,1.75,100.15,2010-02-02,Mumbai
23.27,31.07,16.82,57.36,0.0,1.62,100.13,2010-02-03,Mumbai
